10 years,wasteland
the psychedelic furs,love my way
the psychedelic furs,until she comes
the red jumpsuit apparatus,face down
the replacements,bastards of young
the replacements,i'll be you
the replacements,left of the dial
the replacements,merry go round
the revivalists,wish i knew you
the sisters of mercy,this corrosion
the smashing pumpkins,1979
the smashing pumpkins,bullet with butterfly wings
the smashing pumpkins,disarm
the smashing pumpkins,today
the smiths,heaven knows i'm miserable now
the smiths,how soon is now?
the smiths,panic
the smiths,there is a light that never goes out
the smiths,this charming man
the specials,ghost town
the stone roses,i am the resurrection
the stone roses,i wanna be adored
the strokes,last nite
the sugarcubes,hit
the sundays,here's where the story ends
the tragically hip,ahead by a century
the verve,bitter sweet symphony
the wallflowers,one headlight
the white stripes,fell in love with a girl
the white stripes,icky thump
the white stripes,seven nation army
they might be giants,birdhouse in your soul
third eye blind,semi-charmed life
thirty seconds to mars,the kill (bury me)
this mortal coil,song to the siren
three days grace,(i hate) everything about you
three days grace,animal i have become
three days grace,just like you
three days grace,never too late
toad the wet sprocket,fall down
toadies,possum kingdom
tool,schism
tori amos,cornflake girl
tori amos,god
tori amos,silent all these years
tracy bonham,mother mother
trapt,headstrong
twenty one pilots,heathens
twenty one pilots,ride
twenty one pilots,stressed out
u2,desire
u2,hold me thrill me kiss me kill me
u2,i still haven't found what i'm looking for
u2,mysterious ways
u2,new year's day
u2,one
u2,sunday bloody sunday
vance joy,riptide
veruca salt,seether
violent femmes,blister in the sun
walk the moon,shut up and dance
weezer,(if you're wondering if i want you to) i...
weezer,beverly hills
weezer,buddy holly
weezer,perfect situation
weezer,pork and beans
weezer,undone (the sweater song)
wire,mannequin
world party,way down now
x ambassadors,renegades
xtc,dear god
xtc,respectable street
xtc,senses working overtime
xtc,the ballad of peter pumpkinhead
xtc,the mayor of simpleton
xtc,the mayor of simpleton
young the giant,cough syrup
